"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"cci","EQ_DHS","PUBLISHED","2002","EMR","JOR","URB","81.0","81.03650","","",""
"cci","EQ_DHS","PUBLISHED","2012","EMR","JOR","RUR","85.3","85.27013","","",""
"cci","EQ_MICS","PUBLISHED","2014","EUR","KGZ","URB","80.5","80.53188","","",""
"cci","EQ_MICS","PUBLISHED","2011","WPR","LAO","URB","77.9","77.91022","","",""
"cci","EQ_MICS","PUBLISHED","2010","AFR","SLE","RUR","60.8","60.81334","","",""
"cci","EQ_DHS","PUBLISHED","2013","AFR","SLE","URB","72.2","72.20564","","",""
"cci","EQ_MICS","PUBLISHED","2010","AFR","TCD","RUR","21.6","21.63755","","",""
"cci","EQ_MICS","PUBLISHED","2005","EUR","TJK","RUR","67.7","67.72863","","",""
"cci","EQ_DHS","PUBLISHED","1998","AFR","CIV","URB","65.1","65.06444","","",""
"cci","EQ_DHS","PUBLISHED","2007","AFR","COD","URB","64.0","64.03306","","",""
"cci","EQ_MICS","PUBLISHED","2014","AMR","CUB","RUR","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2008","EMR","EGY","URB","81.3","81.26289","","",""
"cci","EQ_DHS","PUBLISHED","2008","AFR","MDG","RUR","60.9","60.91891","","",""
"cci","EQ_DHS","PUBLISHED","1997","AFR","MOZ","RUR","36.4","36.37849","","",""
"cci","EQ_DHS","PUBLISHED","2010","AFR","MWI","URB","78.4","78.43538","","",""
"cci","EQ_DHS","PUBLISHED","2012","AFR","NER","RUR","52.7","52.65983","","",""
"cci","EQ_MICS","PUBLISHED","2010","AFR","TGO","URB","62.3","62.27407","","",""
"cci","EQ_MICS","PUBLISHED","2006","EUR","TKM","URB","81.4","81.39886","","",""
"cci","EQ_MICS","PUBLISHED","2010","WPR","VNM","RUR","83.5","83.48616","","",""
"cci","EQ_DHS","PUBLISHED","2005","AFR","ZWE","RUR","63.3","63.34325","","",""
"cci","EQ_DHS","PUBLISHED","2002","AMR","DOM","URB","78.2","78.20588","","",""
"cci","EQ_DHS","PUBLISHED","2014","EMR","EGY","URB","80.1","80.08956","","",""
"cci","EQ_DHS","PUBLISHED","1997","EMR","JOR","RUR","75.2","75.20909","","",""
"cci","EQ_DHS","PUBLISHED","1993","AFR","KEN","RUR","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2006","SEAR","NPL","RUR","54.7","54.74342","","",""
"cci","EQ_DHS","PUBLISHED","2000","AMR","PER","URB","81.7","81.66380","","",""
"cci","EQ_DHS","PUBLISHED","2008","WPR","PHL","RUR","68.0","67.98969","","",""
"cci","EQ_DHS","PUBLISHED","1997","AFR","SEN","RUR","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2000","EUR","ARM","URB","75.5","75.45334","","",""
"cci","EQ_DHS","PUBLISHED","2010","AFR","BDI","URB","73.6","73.63651","","",""
"cci","EQ_MICS","PUBLISHED","2006","AMR","BLZ","RUR","66.9","66.89109","","",""
"cci","EQ_MICS","PUBLISHED","2006","AFR","CIV","RUR","48.7","48.66865","","",""
"cci","EQ_MICS","PUBLISHED","2005","AMR","JAM","URB","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","1999","EUR","KAZ","URB","77.0","77.03071","","",""
"cci","EQ_DHS","PUBLISHED","2008","AFR","MDG","URB","78.6","78.57205","","",""
"cci","EQ_MICS","PUBLISHED","2005","EUR","MKD","URB","72.7","72.72863","","",""
"cci","EQ_DHS","PUBLISHED","2000","AFR","RWA","RUR","46.7","46.70339","","",""
"cci","EQ_DHS","PUBLISHED","2010","AFR","RWA","URB","78.2","78.16395","","",""
"cci","EQ_MICS","PUBLISHED","2006","EMR","SYR","URB","80.2","80.21599","","",""
"cci","EQ_DHS","PUBLISHED","1998","AFR","TGO","URB","61.1","61.10546","","",""
"cci","EQ_DHS","PUBLISHED","2011","AFR","BEN","RUR","55.3","55.25935","","",""
"cci","EQ_MICS","PUBLISHED","2012","SEAR","BGD","RUR","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","1996","AMR","BRA","URB","78.8","78.78222","","",""
"cci","EQ_MICS","PUBLISHED","2006","AFR","CAF","RUR","40.8","40.77235","","",""
"cci","EQ_DHS","PUBLISHED","2000","AMR","HTI","RUR","40.3","40.25370","","",""
"cci","EQ_DHS","PUBLISHED","2007","SEAR","IDN","RUR","73.3","73.28700","","",""
"cci","EQ_DHS","PUBLISHED","1998","AFR","KEN","URB","77.6","77.59009","","",""
"cci","EQ_MICS","PUBLISHED","2005","EUR","KGZ","RUR","68.5","68.54685","","",""
